threads,iterations,accounts,duration
2,1000,250,659
2,1000,1000,932
2,1000,10000,3573
2,10000,250,6211
2,10000,1000,9886
2,10000,10000,40771
2,100000,250,61034
2,100000,1000,94101
2,100000,10000,412672
2,1000000,250,568480
2,1000000,1000,943986
2,1000000,10000,4044776
2,10000000,250,5696966
2,10000000,1000,9360395
2,10000000,10000,39919358
4,1000,250,867
4,1000,1000,2099
4,1000,10000,9112
4,10000,250,16667
4,10000,1000,23271
4,10000,10000,88327
4,100000,250,164259
4,100000,1000,229873
4,100000,10000,849587
4,1000000,250,1518582
4,1000000,1000,2268661
4,1000000,10000,8640310
4,10000000,250,15927159
4,10000000,1000,22083345
4,10000000,10000,86881198
8,1000,250,3849
8,1000,1000,5791
8,1000,10000,20137
8,10000,250,44426
8,10000,1000,51200
8,10000,10000,190459
8,100000,250,398563
8,100000,1000,508506
8,100000,10000,1887476
8,1000000,250,4298192
8,1000000,1000,5306095
8,1000000,10000,20151766
8,10000000,250,43550073
8,10000000,1000,54103439
8,10000000,10000,204151366
16,1000,250,5930
16,1000,1000,8704
16,1000,10000,37518
16,10000,250,91000
16,10000,1000,108481
16,10000,10000,420409
16,100000,250,970688
16,100000,1000,1126341
16,100000,10000,4274638
16,1000000,250,9545441
16,1000000,1000,11478992
16,1000000,10000,43031623
16,10000000,250,95841327
16,10000000,1000,116015284
16,10000000,10000,437000301
