Iterations,Accounts,Threads,Time,Speedup
100000,250,1,33,1.0
100000,250,2,211,.15
100000,250,4,377,.08
100000,250,8,789,.04
100000,250,16,1574,.02
100000,1000,1,112,1.0
100000,1000,2,524,.21
100000,1000,4,1236,.09
100000,1000,8,2501,.04
100000,1000,16,4794,.02
100000,10000,1,1106,1.0
100000,10000,2,2551,.43
100000,10000,4,5219,.21
100000,10000,8,10638,.10
100000,10000,16,21451,.05
1000000,250,1,336,1.0
1000000,250,2,2175,.15
1000000,250,4,3831,.08
1000000,250,8,7919,.04
1000000,250,16,15754,.02
1000000,1000,1,1177,1.0
1000000,1000,2,5288,.22
1000000,1000,4,12141,.09
1000000,1000,8,24861,.04
1000000,1000,16,47089,.02
1000000,10000,1,11108,1.0
1000000,10000,2,25379,.43
1000000,10000,4,51184,.21
1000000,10000,8,106917,.10
1000000,10000,16,215447,.05
10000000,250,1,3343,1.0
10000000,250,2,22074,.15
10000000,250,4,37855,.08
10000000,250,8,80051,.04
10000000,250,16,161644,.02
10000000,1000,1,11425,1.0
10000000,1000,2,52602,.21
10000000,1000,4,120079,.09
10000000,1000,8,248720,.04
10000000,1000,16,477380,.02
10000000,10000,1,106179,1.0
10000000,10000,2,250511,.42
10000000,10000,4,521345,.20
10000000,10000,8,1072673,.09
10000000,10000,16,2165740,.04
