Threads,Accounts,Iterations,Run,LongestThreadTime(ms)
2,250,1000,1,0
4,250,1000,1,0
8,250,1000,1,0
16,250,1000,1,0
2,1000,1000,1,0
4,1000,1000,1,0
8,1000,1000,1,0
16,1000,1000,1,0
2,10000,1000,1,0
4,10000,1000,1,0
8,10000,1000,1,0
16,10000,1000,1,0
2,250,10000,1,1
4,250,10000,1,1
8,250,10000,1,1
16,250,10000,1,1
2,1000,10000,1,1
4,1000,10000,1,1
8,1000,10000,1,1
16,1000,10000,1,1
2,10000,10000,1,1
4,10000,10000,1,1
8,10000,10000,1,1
16,10000,10000,1,1
2,250,100000,1,12
4,250,100000,1,15
8,250,100000,1,18
16,250,100000,1,18
2,1000,100000,1,12
4,1000,100000,1,16
8,1000,100000,1,17
16,1000,100000,1,18
2,10000,100000,1,12
4,10000,100000,1,16
8,10000,100000,1,17
16,10000,100000,1,18
2,250,1000000,1,119
4,250,1000000,1,160
8,250,1000000,1,179
16,250,1000000,1,182
2,1000,1000000,1,117
4,1000,1000000,1,157
8,1000,1000000,1,172
16,1000,1000000,1,184
2,10000,1000000,1,123
4,10000,1000000,1,157
8,10000,1000000,1,180
16,10000,1000000,1,185
2,250,10000000,1,1178
4,250,10000000,1,1618
8,250,10000000,1,1789
16,250,10000000,1,1852
2,1000,10000000,1,1144
4,1000,10000000,1,1580
8,1000,10000000,1,1798
16,1000,10000000,1,1870
2,10000,10000000,1,1191
4,10000,10000000,1,1565
8,10000,10000000,1,1781
16,10000,10000000,1,1874
